Accession_number	Protein_name	GO_ID
Q14584	Zinc finger protein 266	{'GO:1990837', 'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q14585	Zinc finger protein 345	{'GO:0000978', 'GO:0001228', 'GO:1990837', 'GO:0000122', 'GO:0006366', 'GO:0006355', 'GO:0045944', 'GO:0005634', 'GO:0006359', 'GO:0006383', 'GO:0005515', 'GO:0006357'}
Q14586	Zinc finger protein 267	{'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000976', 'GO:0005737'}
Q14587	Zinc finger protein 268	{'GO:0045597', 'GO:0007346', 'GO:0008285', 'GO:0003677', 'GO:0051726', 'GO:0045732', 'GO:0045595', 'GO:0005737', 'GO:0045944', 'GO:0005515', 'GO:0071356', 'GO:0030335', 'GO:0043066', 'GO:1901224', 'GO:0042176', 'GO:0001934', 'GO:0043065', 'GO:0000122', 'GO:0006355', 'GO:0008284', 'GO:0003700', 'GO:0005634', 'GO:0000976'}
Q14588	Zinc finger protein 234	{'GO:0000122', 'GO:0006355', 'GO:0043565', 'GO:0005634', 'GO:0003700', 'GO:0005654'}
Q14590	Zinc finger protein 235	{'GO:0006355', 'GO:0045892', 'GO:0043565', 'GO:0005634', 'GO:0003700', 'GO:0005654'}
Q14593	Zinc finger protein 273	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q14721	Potassium voltage-gated channel subfamily B member 1	{'GO:0045163', 'GO:0045956', 'GO:0043204', 'GO:0044325', 'GO:0005886', 'GO:0090314', 'GO:0071277', 'GO:0071333', 'GO:2000671', 'GO:0009986', 'GO:0000149', 'GO:0006813', 'GO:0098900', 'GO:0097623', 'GO:0032590', 'GO:0042383', 'GO:0099634', 'GO:0051260', 'GO:0030424', 'GO:0005216', 'GO:0015271', 'GO:0033605', 'GO:1990635', 'GO:0045202', 'GO:0005515', 'GO:0072659', 'GO:0098981', 'GO:0030425', 'GO:0001508', 'GO:0016324', 'GO:0015459', 'GO:0010701', 'GO:0006811', 'GO:0007215', 'GO:0055085', 'GO:0046982', 'GO:0016020', 'GO:0032809', 'GO:0042593', 'GO:0048471', 'GO:0048678', 'GO:0071805', 'GO:0005249', 'GO:1902065', 'GO:1900454', 'GO:0045211', 'GO:0016328', 'GO:0005251', 'GO:0008076', 'GO:0046676', 'GO:0031669', 'GO:0043025'}
Q147U1	Zinc finger protein 846	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q14872	Metal regulatory transcription factor 1	{'GO:0000978', 'GO:0001228', 'GO:0003677', 'GO:1990837', 'GO:0035035', 'GO:0045944', 'GO:0006351', 'GO:0003700', 'GO:0005634', 'GO:0005737', 'GO:0000987', 'GO:0010038', 'GO:0071294', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q14929	Zinc finger protein 169	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q14940	Sodium/hydrogen exchanger 5	{'GO:0051453', 'GO:0005886', 'GO:0006814', 'GO:0015386', 'GO:1990763', 'GO:0006885', 'GO:0044309', 'GO:1902600', 'GO:0097060', 'GO:0045202', 'GO:0005515', 'GO:0055038', 'GO:0035725', 'GO:0055085', 'GO:0016020', 'GO:0006812', 'GO:0032591', 'GO:0098719', 'GO:0071805', 'GO:0015297', 'GO:0005925', 'GO:0015385'}
Q14990	Outer dense fiber protein 1	{'GO:0036126', 'GO:0002177', 'GO:0005856', 'GO:0005813', 'GO:0005634', 'GO:0099513', 'GO:0005515', 'GO:0031514'}
Q14995	Nuclear receptor subfamily 1 group D member 2	{'GO:0042752', 'GO:0045893', 'GO:0045892', 'GO:0001227', 'GO:0043565', 'GO:0048512', 'GO:0008270', 'GO:0097009', 'GO:0030522', 'GO:0000978', 'GO:0003677', 'GO:0055088', 'GO:0000785', 'GO:0004879', 'GO:0000981', 'GO:2001014', 'GO:0005737', 'GO:0019216', 'GO:0005515', 'GO:0045944', 'GO:0050728', 'GO:0050727', 'GO:0000987', 'GO:1990837', 'GO:0000122', 'GO:0030154', 'GO:0006355', 'GO:0009755', 'GO:0003700', 'GO:0005634', 'GO:0005654'}
Q14CW9	Ataxin-7-like protein 3	{'GO:0071819', 'GO:0045893', 'GO:0000124', 'GO:0070461', 'GO:0033276', 'GO:0006282', 'GO:0008270', 'GO:0005634', 'GO:0043484', 'GO:0005515', 'GO:0006357', 'GO:0003713'}
Q15043	Metal cation symporter ZIP14	{'GO:0031902', 'GO:0030003', 'GO:0015086', 'GO:0005886', 'GO:0015093', 'GO:0032869', 'GO:0071333', 'GO:0140410', 'GO:0034755', 'GO:0015296', 'GO:0005515', 'GO:0006882', 'GO:0005384', 'GO:0005381', 'GO:0045745', 'GO:0071577', 'GO:0005385', 'GO:0098739', 'GO:0016324', 'GO:0002062', 'GO:0008286', 'GO:0055085', 'GO:0016020', 'GO:0031901', 'GO:0033212', 'GO:0005765', 'GO:0070574', 'GO:0055071', 'GO:0071421', 'GO:0016323', 'GO:0098656', 'GO:0006094', 'GO:0015701', 'GO:0046873', 'GO:0030001', 'GO:0071578', 'GO:0010817'}
Q15048	Leucine-rich repeat-containing protein 14	{'GO:0005829', 'GO:0019900', 'GO:0034122', 'GO:0005737', 'GO:0005515'}
Q15072	Zinc finger protein OZF	{'GO:0000978', 'GO:0003677', 'GO:0006355', 'GO:0005730', 'GO:0008270', 'GO:0005634', 'GO:0000981', 'GO:0008201', 'GO:0031981', 'GO:0005515', 'GO:0006357'}
Q15109	Advanced glycation end product-specific receptor	{'GO:0035556', 'GO:0043410', 'GO:0045597', 'GO:1902993', 'GO:0032755', 'GO:0070374', 'GO:0044877', 'GO:0045056', 'GO:0014002', 'GO:0030335', 'GO:0044548', 'GO:0030155', 'GO:1904645', 'GO:0006954', 'GO:1904472', 'GO:0007166', 'GO:0008284', 'GO:0005634', 'GO:0007611', 'GO:0004888', 'GO:1900745', 'GO:0030054', 'GO:0098794', 'GO:1901224', 'GO:2000514', 'GO:0038023', 'GO:0032731', 'GO:0051247', 'GO:0001819', 'GO:0001914', 'GO:0042104', 'GO:0005886', 'GO:0032760', 'GO:1904646', 'GO:0060090', 'GO:0003677', 'GO:0006909', 'GO:0005044', 'GO:1901222', 'GO:0046330', 'GO:0001540', 'GO:0005515', 'GO:0150003', 'GO:1900744', 'GO:0034116', 'GO:0001774', 'GO:2001200', 'GO:0042393', 'GO:2000439', 'GO:0010255', 'GO:0051241', 'GO:1900271', 'GO:1903523', 'GO:0001891', 'GO:0032693', 'GO:0003723', 'GO:0032735', 'GO:0051054', 'GO:0071333', 'GO:2000105', 'GO:0005769', 'GO:0009986', 'GO:0048167', 'GO:2000781', 'GO:0042802', 'GO:0048143', 'GO:0009611', 'GO:1900272', 'GO:0050727', 'GO:0032722', 'GO:0016324', 'GO:1900453', 'GO:0005576', 'GO:0016192', 'GO:0050785', 'GO:0031175', 'GO:0150104'}
Q15306	Interferon regulatory factor 4	{'GO:0045893', 'GO:0043565', 'GO:0002376', 'GO:0003713', 'GO:0032743', 'GO:0000978', 'GO:0005829', 'GO:0000785', 'GO:0120162', 'GO:0000981', 'GO:0005737', 'GO:0072540', 'GO:0005515', 'GO:0042110', 'GO:0006357', 'GO:0045944', 'GO:0000786', 'GO:0045622', 'GO:0001228', 'GO:0032733', 'GO:0032736', 'GO:0016020', 'GO:0000987', 'GO:1990837', 'GO:0042832', 'GO:0051240', 'GO:0006355', 'GO:0032753', 'GO:0003700', 'GO:0005634', 'GO:0000976', 'GO:0005654'}
Q15323	Keratin, type I cuticular Ha1	{'GO:0005829', 'GO:0005200', 'GO:0045109', 'GO:0005856', 'GO:0005198', 'GO:0030280', 'GO:0030855', 'GO:0005882', 'GO:0005576', 'GO:0070062', 'GO:0008544', 'GO:0005515', 'GO:0002009', 'GO:0045095'}
Q15361	Transcription termination factor 1	{'GO:0001650', 'GO:0005730', 'GO:0003682', 'GO:0005634', 'GO:0006363', 'GO:0005515', 'GO:0005654', 'GO:0006353'}
Q15365	Poly(rC)-binding protein 1	{'GO:0003723', 'GO:0014069', 'GO:0003677', 'GO:0005829', 'GO:0003729', 'GO:0000981', 'GO:0005737', 'GO:0003697', 'GO:0045944', 'GO:0005515', 'GO:0045296', 'GO:0098847', 'GO:0016020', 'GO:0070062', 'GO:0016607', 'GO:0005634', 'GO:0003676', 'GO:0005654', 'GO:0039694'}
Q15375	Ephrin type-A receptor 7	{'GO:0051964', 'GO:0043025', 'GO:0005886', 'GO:0048755', 'GO:0004714', 'GO:0099175', 'GO:0098839', 'GO:0050730', 'GO:0007169', 'GO:0048013', 'GO:0005524', 'GO:0051898', 'GO:0098978', 'GO:0045499', 'GO:0050919', 'GO:0099634', 'GO:0048671', 'GO:0098685', 'GO:0007420', 'GO:0005515', 'GO:0050804', 'GO:0016310', 'GO:0008046', 'GO:0030425', 'GO:0019838', 'GO:0043525', 'GO:0004672', 'GO:0005004', 'GO:0031952', 'GO:0016020', 'GO:0098686', 'GO:0031594', 'GO:0043065', 'GO:0005003', 'GO:0022407', 'GO:0005005', 'GO:0046875', 'GO:0045211', 'GO:0007411', 'GO:0070372', 'GO:0004713'}
Q15650	Activating signal cointegrator 1	{'GO:1990116', 'GO:0045893', 'GO:0035035', 'GO:0019901', 'GO:0032991', 'GO:0008270', 'GO:0180022', 'GO:0072344', 'GO:0003713', 'GO:0005829', 'GO:0005737', 'GO:0016604', 'GO:0005515', 'GO:0032790', 'GO:0002020', 'GO:0031594', 'GO:0030331', 'GO:0044389', 'GO:0006355', 'GO:0030520', 'GO:0005813', 'GO:0005634', 'GO:0016922', 'GO:0005654', 'GO:0045661'}
Q15654	Thyroid receptor-interacting protein 6	{'GO:0005149', 'GO:0005829', 'GO:0019900', 'GO:1901224', 'GO:0005856', 'GO:0003723', 'GO:0007165', 'GO:0048041', 'GO:0005634', 'GO:0005737', 'GO:0043009', 'GO:0005925', 'GO:0005515', 'GO:0001725', 'GO:0046966', 'GO:0030335'}
Q15785	Mitochondrial import receptor subunit TOM34	{'GO:0005829', 'GO:0070585', 'GO:0031072', 'GO:0030150', 'GO:0005739', 'GO:0005634', 'GO:0005737', 'GO:0016020', 'GO:0005515', 'GO:0005741'}
Q15884	Endosomal transmembrane epsin interactor 1	{'GO:0055038', 'GO:0038160', 'GO:0031902', 'GO:1990757', 'GO:0005886', 'GO:0022401', 'GO:0031623', 'GO:0031901', 'GO:0005515'}
Q15910	Histone-lysine N-methyltransferase EZH2	{'GO:0000781', 'GO:0005677', 'GO:0042752', 'GO:0003714', 'GO:1900006', 'GO:0042054', 'GO:0043547', 'GO:0003723', 'GO:0043565', 'GO:0045892', 'GO:0031507', 'GO:0032355', 'GO:0001222', 'GO:1990841', 'GO:0000978', 'GO:0003677', 'GO:0140718', 'GO:0045120', 'GO:0031519', 'GO:0000785', 'GO:0048387', 'GO:0140938', 'GO:0006338', 'GO:0031509', 'GO:1900016', 'GO:0005721', 'GO:0030183', 'GO:0071902', 'GO:0031491', 'GO:0045814', 'GO:0048468', 'GO:0090183', 'GO:0045202', 'GO:0005515', 'GO:0010629', 'GO:0030335', 'GO:0035098', 'GO:0031490', 'GO:0031048', 'GO:0106222', 'GO:0070878', 'GO:0042393', 'GO:0006325', 'GO:0046976', 'GO:0010718', 'GO:1902808', 'GO:0005694', 'GO:0051932', 'GO:0140951', 'GO:0043406', 'GO:0000122', 'GO:0006355', 'GO:0043021', 'GO:0008284', 'GO:0003682', 'GO:0005634', 'GO:0000976', 'GO:0021766', 'GO:0000792', 'GO:0005654', 'GO:0016279', 'GO:0000979'}
Q15915	Zinc finger protein ZIC 1	{'GO:0021510', 'GO:0008589', 'GO:0045893', 'GO:0000978', 'GO:0007389', 'GO:0007417', 'GO:0042472', 'GO:0000981', 'GO:0005737', 'GO:0007420', 'GO:0005515', 'GO:0006357', 'GO:0045944', 'GO:0001228', 'GO:0030900', 'GO:1990837', 'GO:0010467', 'GO:0000977', 'GO:0042307', 'GO:0003700', 'GO:0005634', 'GO:0098727', 'GO:0021766', 'GO:0140585', 'GO:0021772', 'GO:0005654'}
Q15928	Zinc finger protein 141	{'GO:0000978', 'GO:0009653', 'GO:0000122', 'GO:0006366', 'GO:0006355', 'GO:0035108', 'GO:0005634', 'GO:0000981'}
Q15935	Zinc finger protein 77	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q15937	Zinc finger protein 79	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q15942	Zyxin	{'GO:0005912', 'GO:0005925', 'GO:0007229', 'GO:0005856', 'GO:0003723', 'GO:0005634', 'GO:0015629', 'GO:0045335', 'GO:0007179', 'GO:0007267', 'GO:0007160', 'GO:0043149', 'GO:0005737', 'GO:0005515', 'GO:0001725'}
Q15973	Zinc finger protein 124	{'GO:0003677', 'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q16206	Ecto-NOX disulfide-thiol exchanger 2	{'GO:0007624', 'GO:0005829', 'GO:0009897', 'GO:0005886', 'GO:0003723', 'GO:0003676', 'GO:0022900', 'GO:0005576', 'GO:0005515'}
Q16342	uS5 assembly chaperone PDCD2	{'GO:0005829', 'GO:0140597', 'GO:0042274', 'GO:0005730', 'GO:0005634', 'GO:1901532', 'GO:0019899', 'GO:0005737', 'GO:0070062', 'GO:0005515'}
Q16587	Zinc finger protein 74	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0005654'}
Q16600	Zinc finger protein 239	{'GO:0000978', 'GO:0003677', 'GO:0000122', 'GO:0003723', 'GO:0001227', 'GO:0005634', 'GO:0000981', 'GO:0016604', 'GO:0005515', 'GO:0006357', 'GO:0005654', 'GO:0010468'}
Q16659	Mitogen-activated protein kinase 6	{'GO:0005829', 'GO:0000165', 'GO:0006468', 'GO:0032156', 'GO:0035556', 'GO:0019901', 'GO:0007165', 'GO:0032991', 'GO:0004674', 'GO:0004672', 'GO:0046982', 'GO:0005634', 'GO:0005737', 'GO:0106310', 'GO:0005524', 'GO:0004707', 'GO:0005515', 'GO:0005654'}
Q16670	Zinc finger and SCAN domain-containing protein 26	{'GO:0000978', 'GO:0006355', 'GO:0005730', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q16820	Meprin A subunit beta	{'GO:0004222', 'GO:0006508', 'GO:0005886', 'GO:0008270', 'GO:0017090', 'GO:0042802', 'GO:0016020', 'GO:0005576', 'GO:0005515', 'GO:0008237'}
Q16842	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2	{'GO:0006688', 'GO:0000139', 'GO:0042803', 'GO:0097503', 'GO:0009101', 'GO:0009247', 'GO:0032580', 'GO:0009312', 'GO:0008373', 'GO:0016020', 'GO:0019082', 'GO:0003836', 'GO:0001574', 'GO:0005576', 'GO:0047288', 'GO:0016266', 'GO:0018146', 'GO:0001576'}
Q17R60	Interphotoreceptor matrix proteoglycan 1	{'GO:0005201', 'GO:0005540', 'GO:0001917', 'GO:0031012', 'GO:0007601', 'GO:0140150', 'GO:0033165', 'GO:0008201', 'GO:0035374', 'GO:0001750'}
Q17RS7	Flap endonuclease GEN homolog 1	{'GO:0003677', 'GO:0008821', 'GO:0003824', 'GO:0000400', 'GO:0000724', 'GO:0042803', 'GO:0000287', 'GO:0010824', 'GO:0005813', 'GO:0005634', 'GO:0071139', 'GO:0006310', 'GO:0017108', 'GO:0071140', 'GO:0004518', 'GO:0005654', 'GO:0031297', 'GO:0090267'}
Q2KHN1	RING finger protein 151	{'GO:0061630', 'GO:0006511', 'GO:0008270', 'GO:0005634', 'GO:0042802', 'GO:0019899', 'GO:0005737', 'GO:0005515'}
Q2M218	Zinc finger protein 630	{'GO:0000978', 'GO:0003677', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q2M3W8	Zinc finger protein 181	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q2M3X9	Zinc finger protein 674	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0005654'}
Q2Q1W2	E3 ubiquitin-protein ligase TRIM71	{'GO:0061630', 'GO:2000177', 'GO:0030371', 'GO:0008543', 'GO:0008270', 'GO:0035198', 'GO:0061158', 'GO:0072089', 'GO:0021915', 'GO:0046872', 'GO:0035278', 'GO:0035196', 'GO:0005515', 'GO:0010608', 'GO:0043161', 'GO:0016567', 'GO:0031047', 'GO:0004842', 'GO:0017148', 'GO:0000932', 'GO:0000082', 'GO:0051865', 'GO:0000209'}
Q2QGD7	Zinc finger protein ZXDC	{'GO:0070742', 'GO:0045893', 'GO:0005634', 'GO:0030275', 'GO:0005515', 'GO:0006357', 'GO:0003712', 'GO:0003713'}
Q2TAL6	Brorin	{'GO:0098890', 'GO:0032281', 'GO:0045666', 'GO:0031012', 'GO:0005614', 'GO:0099645', 'GO:0003674', 'GO:0005604', 'GO:0098978', 'GO:0005576', 'GO:0045202', 'GO:0005515', 'GO:0030514'}
Q2TV78	Putative macrophage stimulating 1-like protein	{'GO:0006508', 'GO:0030971', 'GO:0005576', 'GO:0046425'}
Q2VY69	Zinc finger protein 284	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005654'}
Q30KQ8	Beta-defensin 112	{'GO:0005576', 'GO:0005515', 'GO:0045087'}
Q32MK0	Myosin light chain kinase 3	{'GO:0005829', 'GO:0004687', 'GO:0045214', 'GO:0004683', 'GO:0005524', 'GO:0060298', 'GO:0007165', 'GO:0004672', 'GO:0071347', 'GO:0015629', 'GO:0055003', 'GO:0005737', 'GO:1905075', 'GO:0048769', 'GO:0005515', 'GO:1905710'}
Q3KNS6	Zinc finger protein 829	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q3KP31	Zinc finger protein 791	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q3KQV3	Zinc finger protein 792	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0042802', 'GO:0005515', 'GO:0006357'}
Q3MIS6	Zinc finger protein 528	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005737', 'GO:0006357'}
Q3MJ16	Cytosolic phospholipase A2 epsilon	{'GO:0043325', 'GO:0005544', 'GO:0005886', 'GO:0009395', 'GO:0006650', 'GO:0005829', 'GO:2001137', 'GO:0008970', 'GO:0070273', 'GO:0005509', 'GO:0004623', 'GO:0004620', 'GO:0036149', 'GO:0070292', 'GO:0005765', 'GO:0031901', 'GO:0046475', 'GO:0005547', 'GO:0080025', 'GO:0016747', 'GO:0010314', 'GO:0032266', 'GO:0005546'}
Q3MJ62	Zinc finger and SCAN domain-containing protein 23	{'GO:0000978', 'GO:1990837', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q3SXZ3	Zinc finger protein 718	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981'}
Q3SY52	Zinc finger protein interacting with ribonucleoprotein K	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q3ZCT1	Zinc finger protein 260	{'GO:0000978', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q3ZCX4	Zinc finger protein 568	{'GO:0000978', 'GO:1990837', 'GO:0001701', 'GO:0000122', 'GO:0006355', 'GO:0045892', 'GO:0005634', 'GO:0000981', 'GO:0000976', 'GO:0006357', 'GO:0060669'}
Q3ZLR7	Transcription factor SPT20 homolog-like 1	{'GO:0000124', 'GO:0006357', 'GO:0003712'}
Q499Z4	Zinc finger protein 672	{'GO:0043565', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q49A33	Putative zinc finger protein 876	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q49AA0	Zinc finger protein 69 homolog	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0019216', 'GO:0006357'}
Q4FZB7	Histone-lysine N-methyltransferase KMT5B	{'GO:0140944', 'GO:0045830', 'GO:0042054', 'GO:0001650', 'GO:0006338', 'GO:0140939', 'GO:0003682', 'GO:0140941', 'GO:0042799', 'GO:0006281', 'GO:0005634', 'GO:1904047', 'GO:2001034', 'GO:0005515', 'GO:0005654', 'GO:0005694'}
Q4G112	Heat shock factor protein 5	{'GO:0000978', 'GO:1990837', 'GO:0045893', 'GO:0006355', 'GO:0045892', 'GO:0043565', 'GO:0003700', 'GO:0007140', 'GO:0005634', 'GO:0001217', 'GO:0001216', 'GO:0007283', 'GO:0001741', 'GO:0006357', 'GO:0005694'}
Q4G163	F-box only protein 43	{'GO:0010948', 'GO:0031146', 'GO:0008270', 'GO:0005634', 'GO:1990948', 'GO:0007088', 'GO:0000082', 'GO:0016567', 'GO:0045835', 'GO:1990090', 'GO:0019005', 'GO:0005515'}
Q4G1C9	GLIPR1-like protein 2	{'GO:0005515', 'GO:0016020', 'GO:0005576', 'GO:0060090'}
Q4V348	Zinc finger protein 658B	{'GO:1990837', 'GO:0000976', 'GO:0000122', 'GO:0005634'}
Q52LR7	Enhancer of polycomb homolog 2	{'GO:1905168', 'GO:0000123', 'GO:0045893', 'GO:0051726', 'GO:0035267', 'GO:0005634', 'GO:0006325', 'GO:2000779', 'GO:0030674', 'GO:0006357', 'GO:0042981', 'GO:0000786', 'GO:0032777'}
Q52M93	Zinc finger protein 585B	{'GO:0003677', 'GO:0032502', 'GO:0006355', 'GO:0005634', 'GO:0000976', 'GO:0006357'}
Q53GI3	Zinc finger protein 394	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q53H47	Histone-lysine N-methyltransferase SETMAR	{'GO:0003690', 'GO:0042054', 'GO:0042800', 'GO:0042803', 'GO:2001251', 'GO:0044774', 'GO:0000014', 'GO:0008270', 'GO:2001034', 'GO:0000729', 'GO:0006303', 'GO:0003677', 'GO:0140938', 'GO:0006338', 'GO:0003697', 'GO:0031981', 'GO:0005515', 'GO:0031297', 'GO:0015074', 'GO:2000373', 'GO:0140954', 'GO:0005730', 'GO:0004519', 'GO:0008283', 'GO:0044547', 'GO:0046975', 'GO:0005694', 'GO:0006308', 'GO:0005634', 'GO:0003676', 'GO:0000793', 'GO:0090304', 'GO:0035861', 'GO:0016279'}
Q53H76	Phospholipase A1 member A	{'GO:0006658', 'GO:0008970', 'GO:0140322', 'GO:0016042', 'GO:0036150', 'GO:0120560', 'GO:0006629', 'GO:0005576', 'GO:0016298', 'GO:0002080', 'GO:0052689'}
Q53RD9	Fibulin-7	{'GO:0031012', 'GO:0043395', 'GO:0005509', 'GO:0008201', 'GO:0140144', 'GO:0005576', 'GO:0005925', 'GO:0071953', 'GO:0140149'}
Q58A45	PAN2-PAN3 deadenylation complex subunit PAN3	{'GO:0005829', 'GO:0031251', 'GO:0000288', 'GO:0000289', 'GO:0003723', 'GO:0046872', 'GO:0000932', 'GO:0005634', 'GO:0004535', 'GO:0005737', 'GO:0005524', 'GO:0005515', 'GO:0010606', 'GO:0008143'}
Q5CZA5	Zinc finger protein 805	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q5H9R7	Serine/threonine-protein phosphatase 6 regulatory subunit 3	{'GO:0005829', 'GO:0005886', 'GO:0005634', 'GO:0019903', 'GO:0019888', 'GO:0005737', 'GO:0005515', 'GO:0005654', 'GO:0009966'}
Q5HYA8	Meckelin	{'GO:0060170', 'GO:1904491', 'GO:0005886', 'GO:0036503', 'GO:0005813', 'GO:0005789', 'GO:0005929', 'GO:0010826', 'GO:0036038', 'GO:0035567', 'GO:0060271', 'GO:0030659', 'GO:0035869', 'GO:0005515', 'GO:0031005'}
Q5HYK9	Zinc finger protein 667	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0005515', 'GO:0006357'}
Q5JNZ3	Zinc finger protein 311	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q5JVG2	Zinc finger protein 484	{'GO:0006355', 'GO:0000976', 'GO:0006357', 'GO:0005634'}
Q5JVG8	Zinc finger protein 506	{'GO:0000978', 'GO:0006355', 'GO:0005730', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q5MCW4	Zinc finger protein 569	{'GO:0000978', 'GO:1990837', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q5QP82	DDB1- and CUL4-associated factor 10	{'GO:0031465', 'GO:0016567', 'GO:0031464', 'GO:0005515', 'GO:0080008', 'GO:0005654', 'GO:0042981'}
Q5SVQ8	Zinc finger and BTB domain-containing protein 41	{'GO:0000978', 'GO:0000981', 'GO:0006357', 'GO:0005634'}
Q5SXM1	Zinc finger protein 678	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981'}
Q5T0B9	Zinc finger protein 362	{'GO:0000978', 'GO:0006357', 'GO:0005634', 'GO:0003700'}
Q5T5D7	Zinc finger protein 684	{'GO:1990837', 'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q5T601	Adhesion G protein-coupled receptor F1	{'GO:0007416', 'GO:0004930', 'GO:0007189', 'GO:0005886', 'GO:0007166', 'GO:0004888', 'GO:0007186', 'GO:0031175', 'GO:0016020', 'GO:0005576', 'GO:0005515'}
Q5T619	Zinc finger protein 648	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q5T700	Low-density lipoprotein receptor class A domain-containing protein 1	{'GO:0005515', 'GO:0016020'}
Q5T7W0	Zinc finger protein 618	{'GO:0000785', 'GO:0005721', 'GO:0005634', 'GO:0006325', 'GO:0042802', 'GO:0001221', 'GO:0140463', 'GO:0005515', 'GO:0006357', 'GO:0005694'}
Q5TA31	E3 ubiquitin-protein ligase RNF187	{'GO:0005829', 'GO:0061630', 'GO:0043161', 'GO:0004842', 'GO:0045893', 'GO:0008284', 'GO:0005634', 'GO:0016567', 'GO:0005737', 'GO:0051865', 'GO:0005515', 'GO:0005654', 'GO:0070936'}
Q5TB30	DEP domain-containing protein 1A	{'GO:0001650', 'GO:0035556', 'GO:0045892', 'GO:0005634', 'GO:0017053', 'GO:0005515', 'GO:0005654'}
Q5TD97	Four and a half LIM domains protein 5	{'GO:0005515', 'GO:0045944', 'GO:0003713', 'GO:0005634'}
Q5TEC3	Zinc finger protein 697	{'GO:0000978', 'GO:0005634', 'GO:0000981', 'GO:0003676', 'GO:0035198', 'GO:0005515', 'GO:0006357', 'GO:0034341'}
Q5TH74	O(6)-methylguanine-induced apoptosis 2	{'GO:0005737', 'GO:0043065', 'GO:0005634', 'GO:1902110'}
Q5U651	Ras-interacting protein 1	{'GO:0001525', 'GO:0005795', 'GO:0001570', 'GO:0042803', 'GO:0005911', 'GO:0048754', 'GO:0007165', 'GO:0032991', 'GO:0035024', 'GO:1905709', 'GO:0005515', 'GO:0033625', 'GO:0048471', 'GO:0051020', 'GO:0030291'}
