Common proteins	Only by Iupred2a	Only by Aiupred
P51172		P04090
Q13591		P18887
Q14153		P41214
Q15013		P46199
Q3KNT9		P47756
Q3KNV8		Q00653
Q5EBN2		Q6UXS0
Q6ZRU5		Q6ZQY2
Q6ZVW7		Q86VF7
Q86SR1		Q8IY82
Q8N3F8		Q8IZ52
Q8N972		Q8N9N2
Q8TD17		Q8TDM0
Q8TF39		Q8WXA8
Q96AP4		Q96RN1
Q96EK2		Q9NRD9
Q96IZ6		Q9NV70
Q96JB6		Q9UQK1
Q96PN7		A0AVT1
Q96RV3		O14503
Q9BYH1		P59047
Q9H1K0		Q12816
Q9P2G1		Q5JRX3
Q9Y5S2		Q6PI26
O95714		Q8N3P4
P51786		Q96DL1
P60880		Q96PV4
Q02817		Q9H204
Q15527		Q9NZH6
Q5K4E3		A6NK58
Q5TBA9		O95835
Q6ZN18		P22223
Q7Z4N2		P43632
Q8IVP9		P48230
Q8N4L4		P52333
Q92576		P68106
Q9BQ16		P78337
Q9H0B8		Q05084
Q9H4E5		Q5R3K3
Q9NXT0		Q86VP3
Q9ULI1		Q86WB7
A6NP11		Q8N2R8
P04155		Q8WUH2
P35354		Q969P0
Q12829		Q96M42
Q14533		A0A494C086
Q14896		P12525
Q14CM0		P15814
Q5T848		Q0VAM2
Q63HQ2		Q5H9R4
Q6R6M4		Q5SQS8
Q8IWY4		Q6GYQ0
Q8WUH1		Q8IUA7
Q96GY0		Q8N149
Q96M89		Q8NCM8
Q9H3S3		Q93033
Q9HBD1		Q96SQ7
Q9HDB9		Q9NVN3
Q9NQ29		Q9NY37
Q9NTI5		Q9UJT2
Q9P267		A6NDY0
Q9UBW7		A6NED2
O00238		B2RXH4
O14960		O00519
P10153		P17480
P35070		Q15788
P98182		Q3SY69
Q14596		Q6Y2X3
Q14681		Q8N8R5
Q15406		Q9BXL7
Q53T94		Q9C0B5
Q6ZT77		Q9NRM2
Q86U44		Q9UL49
Q8N158		O15394
Q8N2C7		P02545
Q8NFA0		P0DP73
Q8TEW6		P51452
Q8WU68		P69849
Q96MF7		Q14008
Q96QS1		Q14186
Q9BUG6		Q14964
Q9H019		Q53GL0
Q9NTX7		Q86VM9
Q9P0K1		Q8IX03
D6R901		Q8NEX5
O00144		Q8WWV6
O15197		Q92540
O43164		Q96RI9
O75443		Q9H094
O95197		Q9H7E2
O95202		Q9UPZ3
O95985		Q9Y238
P0C874		O95897
P0CW20		P15927
P0DPA2		P16455
P10827		Q14624
P51948		Q4L235
Q02509		Q5U5R9
Q03405		Q6IQ16
Q15486		Q6NT04
Q499Z3		Q6UX98
Q5JPF3		Q702N8
Q5VWM3		Q71F23
Q68DK2		Q86VH2
Q86V35		Q8NC96
Q8IW36		Q96BS2
Q9BSG1		Q96CW6
Q9H3Y0		Q9H799
Q9HAZ1		Q9HCK8
Q9UKN8		Q9NXD2
Q9Y2A7		Q9NXR7
Q9Y2M0		Q9P016
Q9Y6H1		Q9P086
A0AAG2SVG9		Q9P215
O60522		Q9UBS4
P0C7X2		Q9Y2R2
P31391		Q9Y6J0
P52747		O15403
Q1MX18		O43823
Q92782		O95872
Q96A56		P30613
Q9BZL6		P35557
Q9C019		Q16795
Q9NVS9		Q5JVF3
Q9UKQ2		Q6BDS2
Q9UMN6		Q6ZQT0
Q9Y242		Q6ZRX8
A0A140TA62		Q9BU89
P02788		Q9H813
P21359		Q9NP60
P35590		A0A1B0GX51
P49711		O75554
P51805		O76042
P78348		P09455
Q07011		Q13637
Q08629		Q14721
Q14191		Q5H9R7
Q2VPK5		Q7RTX7
Q49AM3		Q86TL0
Q8TDD2		Q8IY37
Q93097		Q8NBR6
Q96RE9		Q8WXH0
Q9P243		Q96MM6
Q9UEG4		Q9UGI9
Q9Y2K1		Q9UPQ3
A1YPR0		Q9Y6B7
A5X5Y0		B3GLJ2
O95159		O00562
P09884		O15254
P51504		O15523
P53801		P09001
Q12836		P12318
Q13651		P20908
Q15262		P54105
Q16665		Q13769
Q63ZY6		Q14118
Q8NCK3		Q14181
Q96AG4		Q15884
Q96H86		Q495T6
Q96MC5		Q6IQ32
Q9BWM5		Q6U841
Q9NQ38		Q6UW15
O14490		Q7Z3Y8
O60671		Q96DD7
O76009		Q96MF6
P05067		Q9H5L6
P10826		A0A096LNP1
P15976		A6NDU8
P17787		A6NKW6
P26842		A7E2U8
P43489		C9JE40
P53803		O60896
P98175		O95292
Q12899		P04278
Q13029		P28347
Q13106		P28906
Q13201		Q5T6F2
Q15375		Q86SP6
Q53EL9		Q8N0U4
Q6NT52		Q92791
Q6P4A8		Q9UBM4
Q6UW32		Q9Y5I4
Q6UXV0		O00534
Q6ZRF8		O60500
Q7RTY9		O96018
Q86YI8		P10720
Q8IXT2		P19876
Q8WWZ3		Q08AF3
Q96GM1		Q14563
Q9BYS1		Q15669
Q9H0P7		Q2TAL8
Q9P2V4		Q6ZNI0
Q9UK53		Q8IZF6
Q9UPG8		Q9BQS6
A0A0G2JLG4		P05166
B4DH59		P0DP74
O00151		P43628
O15047		Q12767
O75581		Q1W4C9
P00740		Q504Y0
P16473		Q59H18
Q13145		Q6PI73
Q15935		Q6UXK5
Q52LR7		Q6ZQX7
Q7Z5Q1		Q7RTS7
Q8IZJ3		Q8N9S9
Q96A83		Q8WYA1
Q96Q42		Q96G61
Q99748		Q9BYP7
Q9C0F3		Q9H0M4
Q9H4G8		Q9H4E7
Q9NX70		Q9NZS9
Q9NZU5		Q9Y263
Q9UGM5		A6NF83
Q9UQC9		O14815
A4QN01		P0DUB6
O14594		P22570
O14921		P26232
O15151		P43320
O43353		P43629
O75594		P43631
P07358		P47895
P49767		Q13158
P51522		Q5TFG8
P56915		Q709C8
P58166		Q86SJ2
P78357		Q86VR7
Q15811		Q86XP0
Q16478		Q8N3F9
Q2VY69		Q93070
Q5T1V6		Q96G91
Q6S545		Q9UF02
Q6UWL2		Q9ULK6
Q6ZN79		Q9Y5Z0
Q7Z5L9		E9PQ53
Q8N9Q2		P05412
Q8TEW8		P10124
Q9H116		P20783
A6BM72		P21817
A8MXU0		P23467
O00237		P43378
O43593		P52732
O75339		P54252
P10398		Q6VUC0
P23352		Q7Z5V6
P28331		Q8N228
Q14134		Q8N441
Q2M3R5		Q8NFP0
Q5SXH7		Q8WWF6
Q5T0J7		Q92674
Q5VWK0		Q96AQ8
Q6UXN2		Q99758
Q86VF2		Q9BVH7
Q8NCA9		Q9H501
Q8TED9		Q9H8K7
Q96G46		Q9P0J1
Q96PC2		Q9P0K8
Q96QK8		A8MVW0
Q99835		O60359
Q9H898		O95857
Q9UKP4		P04196
Q9ULI4		P0DTU3
Q9UNE2		P16234
Q9Y6C2		P17813
A0AVI4		Q14203
O43451		Q2T9K0
P0DN86		Q6P179
Q14990		Q6P1R3
Q15075		Q6RFH5
Q1ZYL8		Q86VH4
Q4G1C9		Q8NCD3
Q56NI9		Q96EB6
Q86T03		Q96QE5
Q86YP4		Q9NZH5
Q8N4Y2		Q9NZP8
Q8N7K0		Q9UDR5
Q8N9Z0		Q9Y5L3
Q8NFW1		A0A1W2PQD8
Q8NHY2		O15353
Q8TBZ5		O60312
Q96MI6		O60524
Q96RD9		O95977
Q96S65		P01344
Q99650		P49223
Q9BR11		Q13183
Q9BSK1		Q13506
Q9NRG4		Q15155
Q9NY57		Q5T4I8
Q9P218		Q5VTA0
Q9Y2G9		Q8TCC3
Q9Y620		Q92871
O76014		Q969H4
P60331		Q96PS1
Q08380		Q9BVV6
Q15027		Q9BW19
Q3KNS6		Q9BZG1
Q495C1		Q9H7D7
Q5H9K5		Q9HC38
Q5T6C5		Q9UM07
Q68BL7		Q9UNS1
Q8NCE0		P01834
Q8TB69		P02818
Q96GF1		P46459
Q9BUK0		P54922
Q9BYV9		Q00888
Q9H4T2		Q07866
Q9NT22		Q4QY38
O60637		Q8NFV5
O75882		Q92854
P03952		Q96Q06
P54762		Q96QZ0
Q06889		Q99487
Q16288		Q9BX67
Q3ZCT1		Q9H3V2
Q5HY98		Q9NZV5
Q5VVP1		Q9P1U1
Q6WBX8		Q9UQD0
Q6ZNG0		Q9Y3I0
Q6ZVH7		A6NM43
Q7Z410		O00305
Q8N1D0		O60902
Q8N7R1		P0CF97
Q8NA57		P0DPE3
Q8NB46		P28300
Q9BVT8		P47883
Q9NW07		P60508
Q9Y5W5		Q01484
O00482		Q4G0W2
O15393		Q8IYB7
O43918		Q8NFR9
P04085		Q92574
P08476		Q92754
P20231		Q9BR10
P32926		Q9P2J2
P35670		A6NMB1
P49619		A6NMB9
P78332		A8MTJ6
Q00987		O60603
Q05655		P06732
Q08ER8		P08631
Q14644		P0DUQ1
Q16822		P28370
Q499Z4		P50336
Q5TEC3		P59665
Q6PF04		Q15434
Q8N2S1		Q8IWB6
Q8N6Q3		Q96JX3
Q8NI32		Q9BQ69
Q8WU90		Q9H694
Q96CX3		Q9NQ34
Q96PR1		Q9UN76
Q9BRB3		Q9Y487
Q9BUK6		Q9Y5E2
Q9NR12		O14967
Q9NWN3		P09429
Q9NWS9		P17612
Q9NYW8		P24001
Q9P265		P51606
Q9UJW8		Q14500
Q9UPY3		Q2VWP7
P17035		Q5SVJ3
P25054		Q8N1N0
P41732		Q8N3T6
P56645		Q96B36
P84550		Q96D70
Q5SXM1		Q96RP7
Q6P1W5		Q9ULP9
Q8IVC4		Q9Y4A8
Q8IXM7		Q9Y4G6
Q8WW33		O94811
Q8WWQ8		O95602
Q96AW1		P01308
Q96N22		P14866
Q99698		P40197
A0A0J9YY54		P50993
B7ZLF3		Q14469
O60870		Q2VWA4
O95980		Q5SNV9
P01854		Q6P7N7
P08217		Q8NAA4
P0CG36		Q92506
P0DPD5		Q96S66
P14151		Q9H2P0
P21860		Q9Y616
P22749		A0A0C4DH68
P54132		A8MZ59
P60368		O15228
Q07869		O75335
Q2TBC4		O94822
Q5VYS8		O94921
Q6DJT9		P06400
Q8N9L1		P32298
Q8TBB1		Q00887
Q96CC6		Q00G26
Q9NTI2		Q14094
Q9NZJ4		Q14982
Q9Y334		Q53H12
C9JLJ4		Q5JPH6
P0CW19		Q6SJ93
P31150		Q8N3E9
P48745		Q99640
P52738		Q9UKX7
Q13705		Q9Y2G8
Q14678		Q9Y5E9
Q5HYM0		O00115
Q5T4F4		O00400
Q68DA7		O75038
Q7RTU7		O95744
Q8TCU6		P14598
Q9C073		P16619
Q9H1K6		P49590
Q9NRL2		Q5TCS8
Q9NX58		Q5XXA6
Q9Y4F3		Q8IVQ6
A8MXY4		Q8NBS3
M0QZD8		Q8TD86
P00533		Q92889
P22413		Q9BV73
Q5T5D7		Q9BXM9
Q6MZP7		Q9HAU0
Q7Z5J4		Q9Y2L5
Q86WI3		Q9Y5F2
Q8TDZ2		Q9Y6H5
Q93008		A0A0K0K1E9
Q96FC9		O14523
Q96KQ7		P15088
Q96MD7		Q3B726
Q96PQ0		Q6ZN68
Q9BUY5		Q6ZNJ1
Q9BVI0		Q92878
Q9C000		Q9BQC3
Q9H4Q3		Q9H6B4
Q9H5U6		Q9HB07
Q9NYA4		Q9HD23
Q9UPP1		Q9NPC8
A1KZ92		Q9NX38
E7ERA6		Q9NX46
O60609		Q9UF12
O75954		Q9UKJ3
O94907		Q9Y5F3
O94986		P05155
P0DJD4		P0DMQ9
P10828		P11308
P13284		P29728
P22001		P55290
P43250		Q6NT76
Q14142		Q6UWV7
Q15047		Q6ZT07
Q504Q3		Q8IYV9
Q6ZMM2		Q8NFZ6
Q6ZNL6		Q8TDN2
Q8IW70		Q99717
Q8N2H9		Q9BVI4
Q92670		Q9BYC2
Q96JM2		Q9H4B6
Q9BSK4		Q9H611
Q9BUD6		Q9Y697
Q9C030		O60673
Q9C037		O75044
Q9C0A0		P10145
Q9NQ86		P63241
Q9UBR4		Q15572
A4QPH2		Q16842
A6NFK2		Q5MIZ7
O75074		Q8IXV7
P03971		Q8IYD2
P14138		Q8N594
Q02985		Q8N9U0
Q16600		Q8TAP6
Q5TA79		Q969U6
Q6PGQ7		Q96B18
Q6U7Q0		Q96RT7
Q76B58		Q9BVM4
Q86VB7		A8MVU1
Q8IUD6		O95551
Q8IUQ4		Q0D2K2
Q9HCC9		Q6ZMC9
Q9NQE9		Q6ZU65
Q9NR16		Q86UW8
O00220		Q8N108
P01112		Q96EK7
P05107		Q99679
P23769		Q9HCE7
P56730		Q9NSA0
Q04771		Q9NZR4
Q14526		Q9P270
Q15493		Q9UBB6
Q2I0M4		A0A0C4DH24
Q68DU8		B4DZS4
Q6P9A1		B7U540
Q6UXH8		O00186
Q7LFX5		O95248
Q86XT4		P19397
Q8IWR0		Q14185
Q8N1W1		Q16630
Q8N8N0		Q2QD12
Q96RP8		Q6ZU67
Q9HB15		Q96IP4
Q9NQ03		Q99733
Q9P0L1		Q9BY07
C9JSJ3		Q9H3F6
O43184		Q9NW08
O75694		Q9UNI6
P01861		O00712
P05981		O14603
P15622		P16519
P62508		P18206
Q01101		P40425
Q3SY52		P57057
Q3T8J9		Q14397
Q5VIY5		Q14692
Q68D86		Q4U2R8
Q7Z3E5		Q68DD2
Q8IZF2		Q8TBG4
Q8N8K9		Q8WWL2
Q8WTR8		Q8WWU7
Q96K75		Q8WZ59
Q96RL1		Q92844
Q9H1H1		Q9BQL6
Q9HCE3		Q9BXN1
Q9NZV1		Q9BXU7
Q9UK10		Q9BXW4
Q9Y314		Q9BYD2
Q9Y330		Q9HCL2
A0A0B4J1T7		Q9UJU5
O15055		Q9UK17
O60241		Q9UPM8
O60811		Q9Y283
O96028		Q9Y3R4
P06681		A0A1W2PQ73
P21741		A1L4K1
P35858		O95073
Q14993		O95503
Q5D1E8		P09497
Q5HYC2		P15336
Q5TD97		P30926
Q5TI25		Q16526
Q6NW40		Q16602
Q8IVH2		Q68DL7
Q8IYR2		Q6PCB5
Q8N720		Q6UX15
Q8NEQ6		Q6ZRS2
Q96SC8		Q8IWR1
Q99612		Q8N126
Q9H1D9		Q8NG48
Q9NXF7		Q96FI4
Q9Y4C0		Q96RU3
O75751		Q9BYG7
P08709		Q9Y5E4
P23921		O75616
P32927		P07205
P34059		P31994
P52736		P51810
P53420		P99999
P98174		Q15714
Q08AG5		Q2M243
Q13625		Q63ZY3
Q14508		Q6NW34
Q16819		Q6ZS10
Q5T1H1		Q86SQ4
Q5T601		Q86XL3
Q5VYX0		Q8IY85
Q6P5W5		Q8N9M5
Q6ZSG1		Q8WX93
Q70CQ3		Q9UPN3
Q70EK9		Q9Y485
Q7RTY8		A8MTZ7
Q86UV5		O15347
Q8WWY6		P0C7L1
Q8WY91		P63252
Q96K78		Q4KMX7
Q96P47		Q5J5C9
Q9BXA9		Q6UWZ7
Q9H6A9		Q86UK5
Q9H8X9		Q96ND0
Q9Y2G7		Q9P1Q0
Q9Y2K6		Q9UNW1
A8MUX0		A6NCM1
O75509		O14654
O75764		O60664
P08138		P24666
P08174		P63135
Q13835		Q499Y3
Q5FWF4		Q6ZQY7
Q5VZL5		Q6ZS49
Q8IV20		Q6ZVU0
Q8N1W2		Q8NBF4
Q8NB66		Q8NFY9
Q8TEU7		Q92630
Q96GE5		Q969D9
Q96MF0		Q96IR3
Q99435		Q9BXF6
Q9BY31		Q9UHN6
Q9BZ72		A0A0G2JMH3
Q9H5V7		A0A0G2JMM0
Q9P0M4		A1A5B4
Q9P2E8		A6NLU5
Q9UIC8		O14618
Q9Y2Y4		P43351
Q9Y483		P86452
Q9Y581		Q02535
O14773		Q13485
O14964		Q13519
O43482		Q6ZTN6
P02461		Q71RG4
P30530		Q8IVB4
P78385		Q8NFH5
Q12933		Q969P6
Q13241		Q96JQ5
Q15973		Q96M53
Q5T481		Q96SI1
Q7Z6W1		Q9HB96
Q8N5C8		A7MCY6
Q8NDX5		E9PJ23
Q96AP0		O94898
Q9BYV1		P00387
Q9H3R2		P13591
Q9ULD9		P29475
A0AAG2TVJ1		P31153
O43257		P32970
O75373		P35558
P01213		Q06190
P01860		Q15438
P02795		Q3L8U1
P17019		Q569K6
P33992		Q8IXI2
Q10588		Q96P63
Q13263		Q9H6B1
Q14005		Q9NS37
Q5MCW4		Q9Y639
Q5VST9		A0A087WXM9
Q8N104		B1AK53
Q8N5P1		O14495
Q8N859		O43868
Q8WV22		P31268
Q96J86		P47871
Q99523		Q16650
Q9NQT5		Q16658
Q9UJ78		Q7L985
Q9Y2M2		Q92599
Q9Y4B6		Q9GZY1
A6NJZ7		Q9UBL3
O15535		Q9UKY1
P0CJ79		Q9ULM3
P42701		O75417
P58294		O94830
P60328		P20020
Q04206		P36578
Q32MH5		P51531
Q49AR2		Q15131
Q5VV52		Q16720
Q6PRD1		Q30KP9
Q7L3S4		Q30KQ6
Q7Z7A3		Q5SSJ5
Q8TEY7		Q6V0L0
Q93098		Q8IWQ3
Q9BX84		Q8NDV3
Q9C0B9		Q96BJ8
Q9H1Z9		Q96EF9
Q9UDY8		Q99961
O15235		Q9BXB4
O15375		Q9H8M7
O95633		Q9HAU4
P14770		Q9NR90
P16112		Q9Y6N8
P28698		O14893
P34896		P21802
P52739		P22607
Q15413		Q15771
Q2M385		Q53TS8
Q2NKQ1		Q6NY19
Q6UXM1		Q86YG4
Q7L7V1		Q8IV61
Q8IZP7		Q9H0Y0
Q8N488		Q9NPB3
Q8NBF1		Q9UBL6
Q8TEQ6		Q9UMZ2
Q96NW4		Q9Y625
Q9HC57		Q13547
Q9NQZ8		Q32M84
Q9UFP1		Q562R1
Q9Y4A5		Q63HK5
P01127		Q6IN97
P40313		Q8IVH8
P41091		Q8IZU9
Q8IUA0		Q9BQQ3
Q8N141		Q9H4F1
Q8N895		Q9NUE0
Q8NA82		Q9NZS2
Q92743		O75900
Q96D46		P18507
Q96SE7		Q09013
Q96SL8		Q13586
Q9H195		Q1W6H9
Q9ULV3		Q3KQV9
Q9Y2I7		Q4VC39
Q9Y6H3		Q5T5Y3
A4D1E1		Q5W0Z9
O14686		Q6P1L5
O15344		Q7L5L3
O60636		Q86YJ7
P00748		Q8IX90
P00750		Q96PU8
P03372		Q99467
P17025		Q9H7V2
P21941		Q9H902
P32297		Q9NQ35
P49759		A0AAG2UXZ5
Q15695		A6NEL3
Q52M58		A6NJG2
Q6PJE2		A8MPX8
Q6Q0C0		O43592
Q711Q0		O60343
Q7RTU9		P09622
Q7Z3G6		P09848
Q7Z736		P0DV79
Q8NEZ4		P48507
Q8TDW5		P51991
Q96BY7		P98196
Q9BQS8		Q14324
Q9C0D4		Q14331
Q9P2S2		Q2M1Z3
Q9Y383		Q5TEZ5
A6NDA9		Q6ZUT3
P11161		Q8IZ69
P38936		Q8N5A5
P41182		Q8TAL6
P51884		Q92478
Q02386		Q9H1M4
Q13285		Q9NY25
Q16787		Q9UBU9
Q3MIR4		Q9Y496
Q5VTD9		Q9Y5G6
Q6DD87		O75054
Q8IWB7		P09228
Q8N8L2		P52888
Q8TDE3		P63151
Q9H8W5		Q01094
Q9HBF4		Q06432
Q9HC84		Q13972
Q9NZL3		Q16222
Q9UJL9		Q16623
Q9UKZ4		Q17RP2
Q9UM47		Q32P28
P0C7A2		Q3LI66
Q0D2K5		Q6IQ26
Q13253		Q7L266
Q14929		Q8N6K0
Q15303		Q8TDD5
Q16568		Q92637
Q5U5X8		Q9BXW6
Q6P1L6		Q9H7C9
Q6UWX4		Q9H892
Q70Z44		Q9NP87
Q86X76		Q9NSI8
Q8IZD2		Q9NYZ4
Q8WXI4		Q9NZ71
Q93099		Q9P0U3
Q96BD0		Q9ULZ9
Q96KR1		A0A2R8Y747
Q9GZU2		O00203
Q9H8Y5		P09110
Q9NP62		P20042
Q9NSB4		P29120
Q9NZV8		P43897
Q9UHD0		P61371
Q9UHF7		Q08493
Q9Y2D8		Q7Z695
A6NC86		Q8IVF2
A6PVC2		Q8IYI0
O95382		Q8N0Z6
O95996		Q8NCL8
P01591		Q8WUR7
P59991		Q96CJ1
Q13907		Q9UBE8
Q86VZ4		Q9UPS6
Q8N6G6		Q9Y6U3
Q8NFN8		A8MPY1
Q8TE60		O60443
Q9H7L2		O75019
Q9H7R5		O95865
Q9H977		P15086
Q9NSV4		P41586
Q9UPX6		P48167
B2RTY4		P55263
B4DU55		P59901
O15304		P98171
O75382		Q14494
P23771		Q16853
P60370		Q6IA17
P78552		Q6ZRQ5
Q05513		Q96RU2
Q14258		Q96S37
Q5T7M9		Q9BSL1
Q63HR2		Q9C0J9
Q6PII5		Q9HC29
Q6ZMJ4		Q9NR45
Q8N1V8		Q9UKS6
Q96A37		Q9Y597
Q96NS5		O00206
Q99697		P13725
Q9BUH6		P55060
Q9H4P4		Q17RY0
Q9P2Y4		Q5VYY1
Q9UDV6		Q7RTU5
Q9Y5B0		Q8N5C7
Q9Y6T7		Q8WV28
A0AAQ5BID4		Q8WXH4
O43255		Q96I24
P00734		Q96MT1
P05556		Q96QF7
P51815		Q99853
Q12873		Q9H6T0
Q5T1A1		Q9HCQ5
Q6UW60		Q9P232
Q6ZNA5		Q9Y6X4
Q6ZVD7		O14733
Q96F83		O15034
Q96RI1		O43424
Q9BX74		P19878
Q9H2U9		P30626
Q9H324		Q15319
Q9P255		Q5SZL2
Q9Y6L6		Q5T9S5
A8MTI9		Q6PID8
B1AKI9		Q6UW63
O00470		Q6UXK2
P02458		Q6ZQN7
P06239		Q6ZUU3
P20023		Q86VQ0
P21675		Q8TD46
P36980		Q92769
P55001		Q969R5
Q3B820		Q96E93
Q3KQV3		Q9BXP5
Q66K89		Q9H2H9
Q68DX3		Q9NQ90
Q6NSZ9		A0A087WSY4
Q6NVV9		A4D1T9
Q6UXH1		A6NHN6
Q7Z304		P12838
Q8IUN9		P17481
Q8ND04		Q12946
Q8WUT4		Q7Z460
Q92613		Q86X67
Q96JN8		Q902F9
Q9BV68		Q92953
Q9H7X3		Q99985
Q9NQ30		Q9NVC6
Q9NXI6		Q9Y397
O14753		A6NCI4
O15231		F8WCM5
O43345		O00192
O43374		P04114
P02768		P10586
P0DMR3		P22557
P15692		P23025
Q15916		P31645
Q5VYJ5		Q00839
Q6S5L8		Q06141
Q70CQ2		Q14154
Q7Z7B7		Q6ZRV2
Q8IWS0		Q8IWB9
Q8N819		Q8NDH6
Q8WXB4		Q8WWF3
Q9BYM8		Q92556
Q9GZV8		Q9BV44
Q9H1B7		Q9H8Q6
Q9NQV5		Q9NQT8
Q9UHI8		Q9UKV5
C9JL84		Q9Y446
H3BPM6		O95490
O14917		P0CI01
O75928		P0DTE8
P16562		P19961
P23229		P43004
P25942		P58304
P48742		Q04656
Q03936		Q14141
Q13275		Q5HYK7
Q14119		Q6UXX5
Q15257		Q6ZW31
Q15323		Q7Z6J2
Q15915		Q8IWC1
Q8IZF7		Q8IYT1
Q8WXQ3		Q8IYW2
Q93086		Q92481
Q96HC4		Q96JQ2
Q9BYV2		Q96LJ8
Q9H091		Q96NX9
Q9NTQ9		Q96PM9
Q9NVR0		Q96RP9
Q9UG22		Q9HCK4
Q9Y2T1		Q9NRR4
P01130		Q9Y5J1
P07942		Q9Y6C5
P28325		P16284
P48995		P35712
P78536		P40938
Q09328		P42285
Q13105		Q6ZVM7
Q14586		Q7Z7E8
Q2M3W8		Q8WV41
Q58EX7		Q8WYJ6
Q6NUI6		Q9H4H8
Q8N2G4		Q9H974
Q8N944		A0A0B4J2E0
Q8N966		A0A191URJ7
Q8TDF6		A6NH11
Q8WX94		G9CGD6
Q96DX8		O00244
Q96P50		O75380
Q99973		O95486
Q9BR84		P12830
Q9H2Y7		P78426
Q9H4Q4		Q13733
Q9NVM4		Q3LXA3
Q9Y4E5		Q5TKA1
O43278		Q6P2E9
O60942		Q6X9E4
P10909		Q8IWA5
P14555		Q96F46
P20800		Q9BX69
P21709		Q9BXF3
P29375		A0A0G2JN68
Q02505		O43504
Q13641		P0C854
Q13670		P0DUQ2
Q14207		P55283
Q6ECI4		Q14390
Q6Q6R5		Q15386
Q6ZN19		Q49AN0
Q8IWU5		Q66K14
Q8N339		Q7Z4H9
Q8TE57		Q8N612
Q92908		Q8TE96
Q9BQ83		Q9BPW5
Q9BTV6		A4D0V7
Q9BUZ4		H3BS89
Q9P1J3		P42679
Q9ULK2		P63218
A6NM28		Q0D2I5
A6NMS7		Q12765
O14775		Q5TDP6
O43361		Q69YN2
P0C7P0		Q6PEY0
P47989		Q8IUR5
P60852		Q8N386
Q14689		Q8WZA1
Q69YH5		Q9BVA0
Q6N021		Q9BZE2
Q96NX5		Q9GZU5
Q96T68		Q9P253
Q9BQI6		Q9UJ68
Q9HCZ1		Q9Y2W7
Q9UII5		A0A0G2JMD5
A0A1B0GUA7		O00142
A6NFC9		O00167
H7C350		O14543
O94892		O75427
P01185		P01037
P10643		Q02246
P12110		Q12929
P49763		Q2TAZ0
Q05481		Q6IEG0
Q05516		Q6ZS17
Q13351		Q7L4S7
Q30KQ9		Q8IVV2
Q3MIS6		Q8WWK9
Q5T4W7		Q96P31
Q6P9A3		Q99928
Q6UWJ8		Q9H492
Q6UXZ4		Q9NX24
Q6ZNM6		Q9UDW3
Q8NC26		A2A288
Q8TE82		P09874
Q92466		P47985
Q96T51		Q13107
Q9GZZ7		Q16661
Q9H1U4		Q4G0N4
Q9HB63		Q5VTT2
Q9UGR2		Q5VWQ0
Q9Y2X7		Q8NI08
A6NM11		Q9BVC3
O75147		Q9NQS1
O75369		Q9Y345
O75792		O60496
O94842		O95793
P08294		P11388
P24821		P80748
P42694		Q13323
P52735		Q4VNC0
P78325		Q6UX41
Q17R60		Q6ZV65
Q4KMG9		Q86SG3
Q4VX76		Q8IUH2
Q5JVG8		Q8IVL8
Q8IWN7		Q8N7C0
Q96QT4		Q96HA8
Q9BQG2		Q9BYL1
Q9BSG5		Q9GZN8
Q9H3R0		Q9Y6M7
Q9NY12		B7ZC32
Q9P0T4		O00170
Q9ULJ7		P08247
Q9Y3Y4		P40933
A6NCL2		P52948
A6NER0		Q14156
B2RXF5		Q14197
O15105		Q24JP5
O94964		Q7L0X2
P0DTL6		Q86SX3
P49116		Q86VV8
Q02487		Q8IWA6
Q14515		Q92485
Q3ZLR7		Q96FV9
Q5T1J5		Q9HC16
Q6EMK4		Q9UBC1
Q6NXP0		Q9UBL9
Q6ZNA4		Q9UF11
Q7Z698		Q9ULB5
Q86TM6		Q9UMZ3
Q8IYR6		Q9Y2B0
Q8N1F8		Q9Y2G4
Q8N782		O75022
Q8NDY4		O95876
Q92766		P51993
Q96RW7		Q6P9B6
Q9C029		Q86Y34
Q9UIG8		Q8IWU4
Q9UJW7		Q8IYF1
Q9ULV8		Q92901
Q9UPW8		Q99732
Q9Y2K7		Q9NYG2
Q9Y6N6		Q9UM54
Q9Y6R7		A3QJZ7
A2PYH4		O43281
O00555		P09326
P08861		P30408
P53355		P31995
P56975		Q13103
P60372		Q15596
Q15633		Q68CQ1
Q1L5Z9		Q7Z5Y6
Q5HYJ3		Q7Z6B7
Q5SYB0		Q8N423
Q5U5Q3		Q969F1
Q71RG6		Q96GR4
Q7Z4M0		Q96JS3
Q7Z7K0		Q9H6S3
Q86T13		Q9UKW6
Q8IUX8		O94812
Q8IVN8		P20827
Q8IZL8		P55289
Q8TE58		P80192
Q9BS31		Q01814
Q9BYT5		Q07889
Q9HB09		Q1W209
A0JNW5		Q504Y2
D6RIA3		Q5BKZ1
O15534		Q5HY92
O76050		Q8IWZ3
P15918		Q8IYB0
P30260		Q8IZN7
P49790		Q8N5I3
P49863		Q96AY4
P52743		Q96N76
P59990		Q9HAA7
Q14872		Q9NZ94
Q8NAC3		Q9Y694
Q99102		O43795
Q9C0K0		P01848
Q9H7Z3		P19022
Q9H871		P52823
Q9NRC6		P55265
Q9NSC2		Q15329
Q9NYP9		Q3MHD2
O43854		Q569K4
O60259		Q5R3I4
P31689		Q7Z6K5
Q07352		Q8IXJ9
Q6PJF5		Q8NBF2
