Only by Iupred2a	Common proteins	Only by Aiupred
	Q7Z5A7	P15088
	Q8N4Q1	Q3B726
	Q9H1F0	Q6ZN68
	Q9NUK0	Q6ZNJ1
	Q9P2R3	Q9BQC3
	Q9Y5R5	Q9H6B4
	I3L0S3	Q9NX38
	O43296	Q9NX46
	O95450	Q9UF12
	P07996	Q9UKJ3
	P0C7H8	Q9Y5F3
	P15328	P0DMQ9
	P36508	P29728
	P57071	Q6UWV7
	P98095	Q6ZT07
	Q06828	Q8IYV9
	Q5T3F8	Q8NFZ6
	Q6ZRI0	Q8TDN2
	Q86XJ1	Q99717
	Q8NFG4	Q9BVI4
	Q8TF47	Q9BYC2
	Q8WWF5	Q9H611
	Q96MU5	Q9Y697
	Q9BVR0	O60673
	Q9BZV3	O75044
	Q9NYT6	Q15572
	Q9UKS7	Q16842
	B7Z1M9	Q8IXV7
	F5H094	Q8IYD2
	O15354	Q8N594
	O75152	Q8N9U0
	P07949	Q8TAP6
	P10276	Q96RT7
	P28340	A8MVU1
	P55010	O95551
	P55259	Q0D2K2
	P58397	Q6ZU65
	Q03167	Q86UW8
	Q12830	Q8N108
	Q4KWH8	Q96EK7
	Q5FYA8	Q99679
	Q68DN1	Q9HCE7
	Q6PJW8	Q9NZR4
	Q7Z442	Q9P270
	Q8N184	A0A0C4DH24
	Q8NHG8	B4DZS4
	Q9NQ79	O95248
	Q9ULT6	P19397
	A8K830	Q14185
	O43439	Q16630
	O43829	Q2QD12
	O76011	Q6ZU67
	O95260	Q96IP4
	P00749	Q9BY07
	P01859	Q9NW08
	P09871	Q9UNI6
	P0CB33	O00712
	P16109	O14603
	P50461	P16519
	P78333	P40425
	Q02223	Q14692
	Q14264	Q4U2R8
	Q15654	Q68DD2
	Q17RB8	Q8TBG4
	Q6AHZ1	Q8WWL2
	Q6UWQ7	Q8WZ59
	Q7Z419	Q92844
	Q8NBP0	Q9BQL6
	Q8NDY6	Q9BXN1
	Q8TAX0	Q9BXU7
	Q8TBN0	Q9BXW4
	Q96IR2	Q9HCL2
	Q9BRN9	Q9UK17
	Q9UPQ7	Q9UPM8
	A4D1P6	Q9Y283
	P51172	Q9Y3R4
	Q13591	A1L4K1
	Q14153	O95073
	Q15013	P09497
	Q3KNT9	P15336
	Q3KNV8	P30926
	Q5EBN2	Q16602
	Q6ZRU5	Q68DL7
	Q6ZVW7	Q6UX15
	Q86SR1	Q6ZRS2
	Q8N3F8	Q8IWR1
	Q8N972	Q8N126
	Q8TD17	Q8NG48
	Q8TF39	Q9BYG7
	Q96AP4	P07205
	Q96EK2	P31994
	Q96JB6	P99999
	Q96PN7	Q15714
	Q96RV3	Q2M243
	Q9BYH1	Q63ZY3
	Q9H1K0	Q6ZS10
	Q9P2G1	Q86SQ4
	Q9Y5S2	Q8IY85
	O95714	Q8N9M5
	P51786	Q8WX93
	P60880	Q9UPN3
	Q02817	Q9Y485
	Q15527	O15347
	Q5K4E3	P0C7L1
	Q5TBA9	Q4KMX7
	Q6ZN18	Q5J5C9
	Q7Z4N2	Q6UWZ7
	Q8IVP9	Q96ND0
	Q8N4L4	A6NCM1
	Q92576	O14654
	Q9BQ16	O60664
	Q9H0B8	P24666
	Q9H4E5	P63135
	Q9NXT0	Q499Y3
	Q9ULI1	Q6ZQY7
	A6NP11	Q6ZS49
	P04155	Q6ZVU0
	P35354	Q8NBF4
	Q14533	Q8NFY9
	Q14896	Q92630
	Q14CM0	Q969D9
	Q5T848	Q9BXF6
	Q63HQ2	Q9UHN6
	Q6R6M4	A0A0G2JMH3
	Q8IWY4	A0A0G2JMM0
	Q8WUH1	O14618
	Q96GY0	P43351
	Q96M89	P86452
	Q9H3S3	Q02535
	Q9HBD1	Q13485
	Q9HDB9	Q13519
	Q9NQ29	Q6ZTN6
	Q9UBW7	Q71RG4
	O00238	Q8IVB4
	O14960	Q8NFH5
	P10153	Q969P6
	P35070	Q96M53
	P98182	Q96SI1
	Q14596	Q9HB96
	Q14681	A7MCY6
	Q15406	O94898
	Q53T94	P00387
	Q6ZT77	P13591
	Q86U44	P29475
	Q8N158	P35558
	Q8N2C7	Q06190
	Q8NFA0	Q3L8U1
	Q8TEW6	Q569K6
	Q8WU68	Q9H6B1
	Q96MF7	Q9NS37
	Q96QS1	A0A087WXM9
	Q9BUG6	B1AK53
	Q9NTX7	O43868
	Q9P0K1	P31268
	D6R901	Q16650
	O00144	Q16658
	O15197	Q7L985
	O43164	Q92599
	O75443	Q9GZY1
	O95197	Q9UBL3
	O95202	Q9UKY1
	O95985	Q9ULM3
	P0C874	O75417
	P0CW20	P20020
	P0DPA2	P36578
	P10827	Q16720
	P51948	Q30KP9
	Q02509	Q30KQ6
	Q03405	Q6V0L0
	Q15486	Q8IWQ3
	Q5JPF3	Q8NDV3
	Q5VWM3	Q96BJ8
	Q68DK2	Q96EF9
	Q86V35	Q99961
	Q8IW36	Q9BXB4
	Q9BSG1	Q9H8M7
	Q9H3Y0	Q9HAU4
	Q9HAZ1	Q9NR90
	Q9UKN8	Q9Y6N8
	Q9Y2A7	O14893
	Q9Y2M0	P21802
	Q9Y6H1	P22607
	A0AAG2SVG9	Q15771
	O60522	Q53TS8
	P0C7X2	Q6NY19
	P52747	Q86YG4
	Q1MX18	Q8IV61
	Q92782	Q9H0Y0
	Q96A56	Q9UMZ2
	Q9BZL6	Q9Y625
	Q9C019	Q13547
	Q9NVS9	Q562R1
	Q9UKQ2	Q63HK5
	Q9UMN6	Q6IN97
	Q9Y242	Q8IVH8
	A0A140TA62	Q8IZU9
	P02788	Q9BQQ3
	P21359	Q9H4F1
	P35590	Q9NUE0
	P49711	O75900
	P51805	P18507
	P78348	Q09013
	Q07011	Q13586
	Q08629	Q1W6H9
	Q14191	Q3KQV9
	Q2VPK5	Q4VC39
	Q49AM3	Q5T5Y3
	Q8TDD2	Q5W0Z9
	Q93097	Q6P1L5
	Q96RE9	Q7L5L3
	Q9P243	Q8IX90
	Q9UEG4	Q9H7V2
	Q9Y2K1	Q9H902
	A1YPR0	A6NEL3
	A5X5Y0	A8MPX8
	O95159	O43592
	P09884	O60343
	P51504	P09622
	P53801	P09848
	Q12836	P48507
	Q13651	P51991
	Q15262	P98196
	Q16665	Q14331
	Q63ZY6	Q2M1Z3
	Q8NCK3	Q5TEZ5
	Q96H86	Q6ZUT3
	Q96MC5	Q8IZ69
	Q9BWM5	Q8N5A5
	Q9NQ38	Q92478
	O14490	Q9H1M4
	O76009	Q9NY25
	P05067	Q9UBU9
	P10826	Q9Y496
	P15976	Q9Y5G6
	P17787	P09228
	P26842	P52888
	P43489	Q01094
	P53803	Q13972
	P98175	Q16222
	Q12899	Q17RP2
	Q13029	Q3LI66
	Q13106	Q6IQ26
	Q13201	Q7L266
	Q15375	Q8N6K0
	Q53EL9	Q8TDD5
	Q6NT52	Q9BXW6
	Q6P4A8	Q9H7C9
	Q6UW32	Q9H892
	Q6UXV0	Q9NP87
	Q6ZRF8	Q9NSI8
	Q7RTY9	Q9NZ71
	Q86YI8	Q9P0U3
	Q8IXT2	Q9ULZ9
	Q8WWZ3	A0A2R8Y747
	Q96GM1	O00203
	Q9BYS1	P09110
	Q9H0P7	P29120
	Q9P2V4	P43897
	Q9UK53	P61371
	Q9UPG8	Q08493
	A0A0G2JLG4	Q7Z695
	B4DH59	Q8IVF2
	O00151	Q8IYI0
	O15047	Q8NCL8
	O75581	Q96CJ1
	P00740	Q9UBE8
	P16473	O75019
	Q13145	O95865
	Q15935	P15086
	Q52LR7	P41586
	Q7Z5Q1	P48167
	Q8IZJ3	P55263
	Q96A83	P59901
	Q96Q42	P98171
	Q99748	Q14494
	Q9C0F3	Q16853
	Q9H4G8	Q6ZRQ5
	Q9NX70	Q9BSL1
	Q9NZU5	Q9C0J9
	Q9UGM5	Q9NR45
	Q9UQC9	Q9Y597
	A4QN01	O00206
	O14594	Q17RY0
	O15151	Q5VYY1
	O43353	Q7RTU5
	O75594	Q8N5C7
	P07358	Q8WV28
	P49767	Q8WXH4
	P51522	Q96I24
	P56915	Q96MT1
	P58166	Q96QF7
	P78357	Q99853
	Q15811	Q9H6T0
	Q16478	Q9HCQ5
	Q2VY69	O15034
	Q5T1V6	Q5T9S5
	Q6S545	Q6PID8
	Q6UWL2	Q6UW63
	Q6ZN79	Q6UXK2
	Q7Z5L9	Q6ZQN7
	Q8N9Q2	Q6ZUU3
	Q8TEW8	Q86VQ0
	Q9H116	Q8TD46
	A6BM72	Q969R5
	A8MXU0	Q96E93
	O00237	Q9BXP5
	O43593	Q9NQ90
	O75339	A4D1T9
	P10398	P12838
	P23352	P17481
	P28331	Q12946
	Q14134	Q902F9
	Q5SXH7	Q99985
	Q5T0J7	Q9NVC6
	Q5VWK0	Q9Y397
	Q6UXN2	F8WCM5
	Q86VF2	O00192
	Q8NCA9	P04114
	Q8TED9	P10586
	Q96G46	P22557
	Q96PC2	P23025
	Q96QK8	Q00839
	Q99835	Q06141
	Q9H898	Q14154
	Q9UKP4	Q8IWB9
	Q9ULI4	Q92556
	Q9UNE2	Q9BV44
	Q9Y6C2	Q9H8Q6
	A0AVI4	Q9NQT8
	O43451	Q9UKV5
	P0DN86	O95490
	Q14990	P0DTE8
	Q15075	P19961
	Q1ZYL8	P43004
	Q4G1C9	P58304
	Q86T03	Q04656
	Q86YP4	Q5HYK7
	Q8N7K0	Q6ZW31
	Q8N9Z0	Q7Z6J2
	Q8NFW1	Q8IWC1
	Q8NHY2	Q8IYT1
	Q8TBZ5	Q8IYW2
	Q96MI6	Q92481
	Q96RD9	Q96JQ2
	Q96S65	Q96LJ8
	Q99650	Q96NX9
	Q9BR11	Q96PM9
	Q9BSK1	Q96RP9
	Q9NRG4	Q9HCK4
	Q9NY57	Q9NRR4
	Q9P218	Q9Y6C5
	Q9Y620	P16284
	O76014	P40938
	P60331	Q6ZVM7
	Q08380	Q7Z7E8
	Q15027	Q8WYJ6
	Q3KNS6	Q9H974
	Q495C1	A0A0B4J2E0
	Q5H9K5	A0A191URJ7
	Q5T6C5	G9CGD6
	Q68BL7	O75380
	Q8NCE0	P12830
	Q8TB69	P78426
	Q96GF1	Q13733
	Q9BYV9	Q6X9E4
	Q9H4T2	Q8IWA5
	Q9NT22	Q96F46
	O60637	Q9BX69
	O75882	A0A0G2JN68
	P03952	P0DUQ2
	P54762	P55283
	Q06889	Q14390
	Q3ZCT1	Q49AN0
	Q5HY98	Q66K14
	Q5VVP1	Q7Z4H9
	Q6WBX8	Q8TE96
	Q6ZNG0	Q9BPW5
	Q6ZVH7	A4D0V7
	Q7Z410	H3BS89
	Q8N1D0	Q12765
	Q8N7R1	Q5TDP6
	Q8NA57	Q69YN2
	Q8NB46	Q8IUR5
	Q9BVT8	Q8WZA1
	Q9NW07	Q9BVA0
	Q9Y5W5	Q9BZE2
	O00482	Q9GZU5
	O15393	Q9UJ68
	O43918	O00142
	P04085	O00167
	P08476	O14543
	P20231	O75427
	P32926	P01037
	P35670	Q12929
	P49619	Q2TAZ0
	P78332	Q6IEG0
	Q00987	Q7L4S7
	Q05655	Q8IVV2
	Q08ER8	Q8WWK9
	Q14644	Q96P31
	Q16822	Q99928
	Q499Z4	Q9NX24
	Q5TEC3	Q9UDW3
	Q6PF04	A2A288
	Q8N2S1	P09874
	Q8N6Q3	Q13107
	Q8NI32	Q16661
	Q8WU90	Q4G0N4
	Q96CX3	Q5VTT2
	Q9BRB3	Q5VWQ0
	Q9BUK6	Q8NI08
	Q9NR12	Q9BVC3
	Q9NWN3	Q9Y345
	Q9NWS9	O60496
	Q9NYW8	O95793
	Q9P265	P11388
	Q9UJW8	Q4VNC0
	Q9UPY3	Q6UX41
	P17035	Q6ZV65
	P25054	Q86SG3
	P41732	Q8IUH2
	P56645	Q8IVL8
	P84550	Q8N7C0
	Q5SXM1	Q9BYL1
	Q6P1W5	Q9Y6M7
	Q8IVC4	B7ZC32
	Q8IXM7	O00170
	Q8WW33	P40933
	Q8WWQ8	P52948
	Q96AW1	Q14156
	Q96N22	Q14197
	Q99698	Q24JP5
	A0A0J9YY54	Q7L0X2
	B7ZLF3	Q86SX3
	O60870	Q86VV8
	O95980	Q92485
	P01854	Q96FV9
	P08217	Q9HC16
	P0CG36	Q9UBC1
	P0DPD5	Q9UBL9
	P14151	Q9ULB5
	P21860	O75022
	P22749	O95876
	P54132	Q6P9B6
	P60368	Q86Y34
	Q07869	Q8IYF1
	Q2TBC4	Q92901
	Q5VYS8	Q99732
	Q6DJT9	Q9NYG2
	Q8N9L1	Q9UM54
	Q8TBB1	A3QJZ7
	Q96CC6	P09326
	Q9NTI2	P31995
	Q9Y334	Q13103
	C9JLJ4	Q15596
	P0CW19	Q68CQ1
	P31150	Q7Z5Y6
	P48745	Q7Z6B7
	P52738	Q8N423
	Q13705	Q969F1
	Q14678	Q96GR4
	Q5HYM0	Q96JS3
	Q5T4F4	Q9H6S3
	Q7RTU7	O94812
	Q8TCU6	P55289
	Q9C073	Q01814
	Q9H1K6	Q07889
	Q9NRL2	Q1W209
	Q9NX58	Q504Y2
	Q9Y4F3	Q5BKZ1
	A8MXY4	Q8IWZ3
	M0QZD8	Q8IYB0
	P00533	Q8IZN7
	P22413	Q96AY4
	Q5T5D7	Q96N76
	Q6MZP7	Q9HAA7
	Q7Z5J4	Q9NZ94
	Q86WI3	Q9Y694
	Q8TDZ2	O43795
	Q93008	P01848
	Q96FC9	P19022
	Q96KQ7	P52823
	Q96MD7	P55265
	Q96PQ0	Q15329
	Q9BUY5	Q3MHD2
	Q9BVI0	Q569K4
	Q9H4Q3	Q7Z6K5
	Q9H5U6	Q8IXJ9
	Q9NYA4	Q96JQ0
	Q9UPP1	Q9UBQ7
	A1KZ92	P01706
	E7ERA6	P35228
	O60609	P55899
	O75954	Q12840
	O94907	Q6L8Q7
	O94986	Q8IWA0
	P0DJD4	Q96CV9
	P10828	Q96GD3
	P13284	Q9HB19
	P22001	Q9HD43
	P43250	Q9NRP7
	Q14142	Q9UNA1
	Q15047	Q9Y613
	Q504Q3	P04217
	Q6ZMM2	P40763
	Q6ZNL6	Q06187
	Q8IW70	Q13438
	Q8N2H9	Q5T2R2
	Q92670	Q8NEL9
	Q96JM2	Q96CW1
	Q9BSK4	Q96K49
	Q9BUD6	Q9H089
	Q9C030	Q9H7M6
	Q9C037	Q9HCE5
	Q9C0A0	Q9NP86
	Q9NQ86	Q9NYF3
	Q9UBR4	O75185
	A4QPH2	O75821
	A6NFK2	P10243
	O75074	P30048
	P03971	P31943
	P14138	P62699
	Q02985	Q14236
	Q16600	Q5T0N5
	Q5TA79	Q8IUC8
	Q6PGQ7	Q8N4T0
	Q6U7Q0	Q8N556
	Q76B58	Q8N5S3
	Q86VB7	Q969V5
	Q8IUD6	Q96FM1
	Q8IUQ4	Q96KN3
	Q9HCC9	Q96MS0
	Q9NQE9	Q96RU7
	Q9NR16	Q9P0T7
	O00220	A0A0G2JN01
	P01112	A5PLN7
	P05107	O75448
	P23769	O94760
	P56730	P29460
	Q04771	P50452
	Q14526	Q07343
	Q15493	Q496M5
	Q2I0M4	Q6P0N0
	Q68DU8	Q8N0W4
	Q6P9A1	Q8N201
	Q6UXH8	Q8WUI4
	Q7LFX5	Q92538
	Q86XT4	Q9NZL9
	Q8IWR0	Q9UN66
	Q8N1W1	X6R8R1
	Q8N8N0	O60513
	Q9HB15	P57075
	Q9NQ03	Q12959
	Q9P0L1	Q53R12
	C9JSJ3	Q6PJG9
	O43184	Q96N96
	P01861	Q9UI26
	P05981	O00587
	P15622	O60488
	P62508	O95425
	Q01101	P53621
	Q3SY52	Q5HY64
	Q3T8J9	Q5T011
	Q5VIY5	Q6DKI7
	Q68D86	Q8IX18
	Q8IZF2	Q8N1E2
	Q8N8K9	Q9H5F2
	Q8WTR8	Q9HCK5
	Q96K75	Q9P1W9
	Q96RL1	Q9ULG1
	Q9H1H1	A0A1B0GX95
	Q9HCE3	A0A1W2PQF6
	Q9NZV1	H3BQJ8
	Q9UK10	O14613
	Q9Y314	O15530
	Q9Y330	P01880
	A0A0B4J1T7	Q14694
	O15055	Q16827
	O60241	Q5SQQ9
	O60811	Q5XG99
	O96028	Q6NSI4
	P06681	Q86UG4
	P21741	Q8NCA5
	P35858	Q8NES3
	Q14993	Q96EQ0
	Q5D1E8	Q96F86
	Q5HYC2	Q96IC2
	Q5TD97	Q96QZ7
	Q5TI25	Q9GZZ0
	Q6NW40	Q9HD47
	Q8IVH2	Q9NQW1
	Q8IYR2	Q9P2A4
	Q8N720	Q9Y653
	Q8NEQ6	O75052
	Q96SC8	O75146
	Q99612	P0C091
	Q9H1D9	P35609
	Q9NXF7	P43626
	Q9Y4C0	P53671
	O75751	P58417
	P08709	Q15828
	P23921	Q16585
	P32927	Q6NXG1
	P34059	Q6UXP9
	P52736	Q6V1P9
	P53420	Q70EL4
	P98174	Q8NFP9
	Q08AG5	Q96LB8
	Q14508	Q96LT4
	Q16819	Q96PJ5
	Q5T1H1	Q9BTC8
	Q5T601	Q9BXY0
	Q5VYX0	Q9H0E2
	Q6P5W5	Q9HCN3
	Q6ZSG1	Q9NS84
	Q70CQ3	O14647
	Q70EK9	O14734
	Q7RTY8	O15350
	Q86UV5	P01023
	Q8WWY6	P04746
	Q8WY91	P58012
	Q96K78	Q12913
	Q96P47	Q13217
	Q9BXA9	Q14774
	Q9H6A9	Q6PIF6
	Q9H8X9	Q7Z4H7
	Q9Y2G7	Q8IWT6
	Q9Y2K6	Q99959
	A8MUX0	Q9BXB5
	O75509	Q9HB20
	O75764	O75477
	P08138	P40199
	P08174	P41161
	Q13835	Q12904
	Q5FWF4	Q15760
	Q5VZL5	Q495X7
	Q8IV20	Q4AE62
	Q8N1W2	Q5JX69
	Q8NB66	Q8N4N3
	Q8TEU7	Q8NET5
	Q96GE5	Q8NGI1
	Q96MF0	Q96EY9
	Q99435	Q9BY76
	Q9BY31	Q9H6R7
	Q9BZ72	O15067
	Q9H5V7	O75943
	Q9P0M4	P02549
	Q9P2E8	P08514
	Q9UIC8	P35573
	Q9Y2Y4	Q0P6D2
	Q9Y483	Q3SXZ7
	Q9Y581	Q6UX73
	O14773	Q8WZ64
	O14964	Q9BVQ7
	O43482	Q9HDC5
	P02461	Q9NNX6
	P30530	Q9NPD3
	P78385	Q9UN37
	Q12933	Q9Y312
	Q13241	A0A075B6K4
	Q15973	A0A0G2JNF4
	Q5T481	A8K554
	Q7Z6W1	P31785
	Q8N5C8	P49815
	Q8NDX5	P51530
	Q96AP0	Q14BN4
	Q9BYV1	Q86YA3
	Q9H3R2	Q8N412
	Q9ULD9	Q8NEV8
	A0AAG2TVJ1	Q96JA3
	O43257	Q9Y264
	O75373	Q9Y5Q8
	P01213	A2A3N6
	P01860	A6NJ78
	P02795	A6NJW4
	P17019	O15041
	P33992	P0CH98
	Q10588	P0DMP2
	Q13263	P12277
	Q14005	Q17RW2
	Q5MCW4	Q8TDY2
	Q5VST9	Q9Y6F7
	Q8N104	A8MYJ7
	Q8N5P1	O43653
	Q8N859	P13674
	Q8WV22	P54098
	Q96J86	P84022
	Q99523	Q32NC0
	Q9NQT5	Q53GL7
	Q9UJ78	Q5VVQ6
	Q9Y2M2	Q6RI45
	A6NJZ7	Q8N5R6
	O15535	Q8TCG2
	P0CJ79	Q9H6S0
	P42701	Q9NZH4
	P58294	O76075
	P60328	P10746
	Q04206	P78356
	Q32MH5	Q05BQ5
	Q5VV52	Q13635
	Q6PRD1	Q5XLA6
	Q7L3S4	Q7Z494
	Q7Z7A3	Q8N614
	Q8TEY7	Q8TBB0
	Q93098	Q969S3
	Q9BX84	Q9P2K5
	Q9C0B9	O15091
	Q9H1Z9	O75976
	Q9UDY8	P04808
	O15235	P0CG21
	O15375	Q12772
	O95633	Q502W6
	P14770	Q5VT03
	P16112	Q86U28
	P28698	Q8IYF3
	P34896	Q8N961
	P52739	Q9H3L0
	Q15413	Q9Y2H0
	Q2M385	Q9Y5G2
	Q6UXM1	Q01469
	Q7L7V1	Q86V86
	Q8IZP7	Q96AP7
	Q8N488	Q9BYX7
	Q8NBF1	Q9H9V4
	Q8TEQ6	Q9NZ09
	Q96NW4	O95989
	Q9HC57	P0CG22
	Q9NQZ8	Q16513
	Q9UFP1	Q6UX52
	Q9Y4A5	Q8IUH8
	P01127	Q8N4C9
	P40313	Q8NG11
	P41091	Q8NHP8
	Q8IUA0	Q8NHY3
	Q8N141	Q8TF30
	Q8N895	Q8WUA8
	Q8NA82	Q96BH3
	Q92743	Q96G42
	Q96D46	Q9H0J4
	Q96SE7	Q9HD90
	Q96SL8	A6NCI8
	Q9H195	O95622
	Q9ULV3	Q11201
	Q9Y2I7	Q14DG7
	Q9Y6H3	Q5CZC0
	A4D1E1	Q8WV15
	O14686	Q96M20
	O15344	Q99996
	O60636	Q9BZB8
	P00748	Q9NPI7
	P00750	Q9NWV4
	P03372	Q9UN67
	P17025	Q9UPV9
	P21941	A6PVI3
	P32297	O43314
	Q15695	P21810
	Q52M58	Q5VZ46
	Q6PJE2	Q6ZS30
	Q6Q0C0	Q75QN2
	Q7RTU9	Q9H6S1
	Q7Z3G6	Q9UIX4
	Q7Z736	A0A376A8Z9
	Q8NEZ4	O95397
	Q8TDW5	P09496
	Q96BY7	P35453
	Q9BQS8	P61565
	Q9C0D4	Q00266
	Q9P2S2	Q13489
	Q9Y383	Q14714
	A6NDA9	Q2NKJ3
	P11161	Q3LHN0
	P38936	Q86YJ6
	P41182	Q8HWS3
	P51884	Q8N5K1
	Q02386	Q9Y2J2
	Q13285	P78562
	Q16787	Q06210
	Q3MIR4	Q12952
	Q5VTD9	Q13683
	Q6DD87	Q5TID7
	Q8IWB7	Q8IYT3
	Q8N8L2	Q8NEM2
	Q8TDE3	Q96RT8
	Q9H8W5	Q9UNI1
	Q9HBF4	B4DSL7
	Q9HC84	O15018
	Q9NZL3	P22830
	Q9UJL9	P29466
	Q9UKZ4	P31273
	Q9UM47	P33176
	P0C7A2	P55209
	Q0D2K5	Q14683
	Q13253	Q5JSL3
	Q14929	Q8N157
	Q15303	Q8N1C3
	Q16568	Q96IY4
	Q5U5X8	O15061
	Q6P1L6	O94985
	Q70Z44	P09234
	Q86X76	P15036
	Q8IZD2	Q16832
	Q96BD0	Q1RMZ1
	Q96KR1	Q30KR1
	Q9GZU2	Q495W5
	Q9NP62	Q5UCC4
	Q9NSB4	Q6UWQ5
	Q9NZV8	Q8N0X4
	Q9UHD0	Q8NFA2
	Q9UHF7	Q8TCW7
	Q9Y2D8	Q9GZQ4
	A6NC86	Q9H8M2
	A6PVC2	Q9HCC0
	O95382	Q9NZA1
	O95996	A8MQ11
	P01591	P16157
	P59991	P18615
	Q13907	P20930
	Q86VZ4	P26006
	Q8N6G6	P48304
	Q8NFN8	Q08211
	Q8TE60	Q86YR7
	Q9H7L2	Q8N697
	Q9H7R5	Q8N8P6
	Q9H977	Q92736
	Q9UPX6	A6NJT0
	B2RTY4	B1ANY3
	B4DU55	O14498
	O15304	P0DY27
	O75382	P11498
	P23771	P23468
	P60370	Q13017
	P78552	Q13332
	Q05513	Q5T200
	Q14258	Q8IW93
	Q5T7M9	Q8N2Q7
	Q63HR2	Q8N5U6
	Q6PII5	Q8TC94
	Q6ZMJ4	Q92932
	Q8N1V8	Q99706
	Q96A37	Q9BUR4
	Q96NS5	Q9H0C1
	Q99697	Q9UIA0
	Q9BUH6	Q9Y261
	Q9H4P4	A6NHR9
	Q9P2Y4	P29144
	Q9UDV6	P48050
	Q9Y5B0	P57723
	Q9Y6T7	P59861
	A0AAQ5BID4	Q6P9A2
	O43255	Q7KYR7
	P00734	Q7RTN6
	P05556	Q8IV42
	P51815	Q8NEG0
	Q12873	Q96KD3
	Q5T1A1	Q9BQK8
	Q6UW60	Q9P121
	Q6ZNA5	P78527
	Q6ZVD7	Q13530
	Q96F83	Q16637
	Q96RI1	Q5HYW3
	Q9BX74	Q6L9W6
	Q9H2U9	Q6UWL6
	Q9H324	Q6UXT8
	Q9P255	Q86T82
	Q9Y6L6	Q86US8
	A8MTI9	Q8N5J2
	B1AKI9	A5PLL1
	O00470	A8MZH6
	P02458	P05549
	P06239	P0DTL4
	P20023	P24903
	P21675	P33991
	P36980	P80108
	P55001	Q5H8C1
	Q3B820	Q6AWC2
	Q3KQV3	Q86XR8
	Q66K89	Q8IXW5
	Q68DX3	Q8NCU7
	Q6NSZ9	Q96MV8
	Q6NVV9	Q9H0H3
	Q6UXH1	O15389
	Q7Z304	P01008
	Q8IUN9	P23946
	Q8ND04	P50453
	Q8WUT4	Q13330
	Q92613	Q14676
	Q96JN8	Q14934
	Q9BV68	Q6UVJ0
	Q9H7X3	Q6UWM5
	Q9NQ30	Q96F45
	Q9NXI6	Q99489
	O14753	Q9C0F0
	O15231	Q9HBM0
	O43345	Q9Y6X8
	O43374	P46020
	P02768	P61158
	P0DMR3	Q6DHV5
	P15692	Q86SJ6
	Q15916	Q8IXH8
	Q5VYJ5	Q96NK8
	Q6S5L8	Q9BVL4
	Q70CQ2	Q9NRL3
	Q7Z7B7	Q9UKB1
	Q8IWS0	Q9UKU0
	Q8WXB4	O43295
	Q9BYM8	O75143
	Q9GZV8	P53602
	Q9H1B7	Q15399
	Q9NQV5	Q86Z02
	Q9UHI8	Q8N6C5
	H3BPM6	Q8WZ75
	O14917	Q96GS6
	O75928	Q96JJ6
	P16562	Q96PB7
	P23229	Q9NQZ3
	P25942	O14646
	P48742	P02671
	Q03936	P0DP58
	Q13275	P49005
	Q14119	Q02846
	Q15257	Q58A45
	Q15323	Q86UW1
	Q15915	Q8IYS2
	Q8IZF7	Q8N4N8
	Q8WXQ3	Q8WWX8
	Q93086	Q9H3Q3
	Q9BYV2	Q9UBY9
	Q9H091	O15111
	Q9NVR0	P34947
	Q9Y2T1	P35680
	P01130	P48553
	P07942	Q6XE24
	P28325	Q8N196
	P48995	Q8NB14
	P78536	Q8ND71
	Q09328	Q9H6D7
	Q13105	Q9H7F0
	Q14586	A7E2V4
	Q2M3W8	C9J1S8
	Q58EX7	P09382
	Q6NUI6	P54707
	Q8N2G4	Q6MZQ0
	Q8N944	Q6P2S7
	Q8N966	Q7Z3H4
	Q8TDF6	Q86YV9
	Q8WX94	Q8IZT6
	Q96DX8	Q8N7C4
	Q96P50	Q8N8J0
	Q99973	Q96QK1
	Q9BR84	Q9BW30
	Q9H4Q4	Q9UK22
	Q9NVM4	Q9Y2B4
	Q9Y4E5	A0A1W2PRP0
	O43278	O43196
	O60942	P09919
	P10909	P25103
	P14555	P36405
	P20800	P51671
	P21709	Q13470
	P29375	Q6IN84
	Q02505	Q8IX05
	Q13641	Q8N6Q8
	Q13670	Q96D03
	Q14207	Q96M11
	Q6ECI4	Q96PY6
	Q6Q6R5	Q9GZY6
	Q6ZN19	Q9P2K8
	Q8IWU5	Q9UJ71
	Q8N339	P09913
	Q8TE57	P23219
	Q92908	Q14CZ7
	Q9BQ83	Q52WX2
	Q9BTV6	Q6ZUX3
	Q9BUZ4	Q8NCJ5
	Q9P1J3	Q8NHJ6
	Q9ULK2	Q92546
	A6NM28	Q96A28
	A6NMS7	Q9BT76
	O14775	Q9H579
	O43361	Q9NZI8
	P0C7P0	Q9UBF2
	P47989	Q9UNN5
	P60852	O75582
	Q14689	O95858
	Q69YH5	P22362
	Q6N021	P27352
	Q96NX5	P42345
	Q96T68	P52179
	Q9BQI6	Q10570
	Q9HCZ1	Q15858
	Q9UII5	Q5GAN3
	A0A1B0GUA7	Q6ZRF7
	A6NFC9	Q9BYT9
	O94892	Q9NVM9
	P01185	Q9NVR5
	P10643	Q9UFW8
	P12110	A0A0K0K1A3
	P49763	O00159
	Q05481	O14863
	Q05516	P05362
	Q13351	P38570
	Q30KQ9	P78310
	Q3MIS6	Q05C16
	Q5T4W7	Q06546
